Orb num            Num eventsFirst event
1710          265            1997-01-26/13:32:20.273
1850          259            1997-02-08/12:22:28.582
3008          473            1997-05-26/14:09:32.867
3074          257            1997-06-01/16:32:44.387
3191          394            1997-06-12/12:07:27.615
3354          528            1997-06-27/13:41:25.123
4019          514            1997-08-28/01:15:04.471
4021          268            1997-08-28/05:48:11.112
4030          280            1997-08-29/01:46:13.968
4084          281            1997-09-03/01:25:52.163
4086          411            1997-09-03/05:49:05.527
4087          257            1997-09-03/07:59:23.166
4089          377            1997-09-03/12:31:52.705
4090          298            1997-09-03/14:45:23.987
4095          301            1997-09-04/01:49:27.884
4146          251            1997-09-08/19:11:22.876
4244          263            1997-09-17/20:27:46.114
4266          259            1997-09-19/21:14:46.873
4286          289            1997-09-21/17:37:42.257
4287          433            1997-09-21/19:52:51.570
4288          899            1997-09-21/22:02:04.257
4291          489            1997-09-22/04:35:10.632
4353          290            1997-09-27/22:13:00.130
4412          256            1997-10-03/09:01:34.625
4793          411            1997-11-07/13:57:56.280
5364          270            1997-12-30/07:48:06.835
5366          349            1997-12-30/12:12:53.960
5445          298            1998-01-06/19:15:27.935
5450          311            1998-01-07/06:25:18.916
5451          288            1998-01-07/08:38:32.791
5468          483            1998-01-08/22:15:58.636
5583          551            1998-01-19/13:12:58.930
5589          386            1998-01-20/02:29:54.129
5605          317            1998-01-21/13:54:39.128
6293          263            1998-03-26/02:54:37.109
6379          321            1998-04-03/01:26:21.294
6424          373            1998-04-07/05:07:37.986
6465          726            1998-04-11/00:00:08.534
6466          361            1998-04-11/02:09:17.792
6497          281            1998-04-13/22:51:42.537
6508          426            1998-04-14/23:13:05.346
6511          250            1998-04-15/05:50:58.533
6529          456            1998-04-16/21:43:26.517
6583          324            1998-04-21/21:19:06.588
6605          502            1998-04-23/22:02:17.814
6606          665            1998-04-24/00:15:10.306
6620          366            1998-04-25/07:20:09.701
6630          411            1998-04-26/05:19:28.673
6637          455            1998-04-26/20:54:49.444
6651          289            1998-04-28/03:52:25.270
6652          257            1998-04-28/06:02:55.746
6683          297            1998-05-01/02:44:54.244
6692          1046           1998-05-01/22:44:05.937
6693          686            1998-05-02/00:54:09.023
6694          988            1998-05-02/03:05:03.484
6703          264            1998-05-02/23:03:26.895
6717          356            1998-05-04/05:57:53.838
6718          452            1998-05-04/08:10:00.553
6719          391            1998-05-04/10:23:28.428
6720          614            1998-05-04/12:37:32.303
6721          261            1998-05-04/14:52:08.988
6760          261            1998-05-08/05:11:44.325
8276          420            1998-09-25/00:05:38.091
8758          558            1998-11-08/10:06:40.824
8759          538            1998-11-08/12:17:16.324
8760          552            1998-11-08/14:28:44.999
8761          367            1998-11-08/16:42:29.761
8762          282            1998-11-08/18:58:01.480
8763          302            1998-11-08/21:11:28.144
8764          294            1998-11-08/23:27:08.620
8765          313            1998-11-09/01:39:47.167
8766          358            1998-11-09/03:52:55.081
8810          374            1998-11-13/05:08:41.723
8951          371            1998-11-26/04:48:16.375
9006          490            1998-12-01/06:19:15.695
9420          324            1999-01-08/10:04:24.577
9480          268            1999-01-13/22:43:30.075
9486          295            1999-01-14/11:57:53.103
9583          399            1999-01-23/10:15:41.793
9584          276            1999-01-23/12:32:35.793
9585          386            1999-01-23/14:49:31.918
9589          536            1999-01-23/23:33:01.296
9638          288            1999-01-28/11:49:49.019
9713          317            1999-02-04/08:06:12.677
9721          282            1999-02-05/03:05:23.650
9737          341            1999-02-06/13:08:09.102
9786          335            1999-02-11/01:19:23.132
9789          352            1999-02-11/07:55:49.007
9792          650            1999-02-11/14:35:46.573
9796          292            1999-02-12/00:45:37.456
9797          744            1999-02-12/01:35:29.975
9799          338            1999-02-12/06:00:30.081
9802          295            1999-02-12/12:40:49.764
9822          436            1999-02-14/08:49:12.295
9825          332            1999-02-14/15:29:46.526
9828          367            1999-02-14/22:05:44.982
9831          391            1999-02-15/04:40:01.026
9832          270            1999-02-15/06:53:48.435
9854          315            1999-02-17/07:28:18.021
9855          297            1999-02-17/09:42:04.141
9857          310            1999-02-17/14:09:58.993
9864          393            1999-02-18/05:32:03.720
9905          366            1999-02-22/00:04:57.489
9986          494            1999-03-01/11:02:36.595
9987          523            1999-03-01/13:13:17.430
9988          365            1999-03-01/15:26:04.899
9990          282            1999-03-01/19:49:05.215
11059         274            1999-06-08/03:46:54.949
11065         275            1999-06-08/16:55:09.296
11102         262            1999-06-12/02:37:08.451
11141         270            1999-06-15/16:36:19.760
11156         335            1999-06-17/01:45:27.999
11263         271            1999-06-26/21:45:20.599
11739         705            1999-08-09/15:12:47.069
13222         256            1999-12-23/18:20:34.879
13266         307            1999-12-27/19:08:44.718
13340         251            2000-01-03/14:01:38.122
