FIELDS SAMPLE_T       SAMPLE_FREQ              HIST COUNTS
0.001953              512.0013                 35714
0.007812              128.0000                 187213
0.031250              32.0000                  2875
0.125000              8.0000                   8168
0.250000              4.0000                   11
0.271484              3.6835                   3
0.333984              2.9942                   1
0.396484              2.5222                   1
1.085940              0.9209                   105
1.208980              0.8271                   2
1.271480              0.7865                   6
1.335940              0.7485                   15
1.585940              0.6305                   7
1.835940              0.5447                   9
2.085940              0.4794                   8
2.271480              0.4402                   1
2.335940              0.4281                   1
2.409300              0.4151                   3
2.424680              0.4124                   4
2.487180              0.4021                   3
2.585940              0.3867                   1
2.723140              0.3672                   19
2.737790              0.3653                   34
2.835940              0.3526                   3
2.968750              0.3368                   10
2.987790              0.3347                   95
3.085940              0.3241                   3
3.291020              0.3039                   8
3.302730              0.3028                   16
3.409300              0.2933                   5
3.585940              0.2789                   1
3.723140              0.2686                   19
3.835940              0.2607                   2
3.968750              0.2520                   4
4.085940              0.2447                   1
4.291020              0.2330                   2
4.302730              0.2324                   54
4.409300              0.2268                   7
4.723140              0.2117                   21
4.835940              0.2068                   1
4.935000              0.2026                   1
4.968750              0.2013                   3
5.291020              0.1890                   1
5.302730              0.1886                   2
5.968750              0.1675                   1
6.835940              0.1463                   2
6.968750              0.1435                   3
7.968750              0.1255                   2
8.558110              0.1168                   1
8.625000              0.1159                   34
8.835940              0.1132                   1
9.409300              0.1063                   8
9.723140              0.1028                   19
10.291000             0.0972                   6
12.625000             0.0792                   3
16.625000             0.0602                   3
17.585899             0.0569                   1
17.875000             0.0559                   1
19.500000             0.0513                   1
20.277800             0.0493                   1
23.291000             0.0429                   1
24.500000             0.0408                   1
      234552
