Tag name                                           Has negs?
ORBIT                                            0

ALFVENIC                                         0

TIME                                             0

ALT                                              0

MLT                                              0

ILAT                                             1

MAG_CURRENT                                      1

ESA_CURRENT                                      1

ELEC_ENERGY_FLUX                                 0

INTEG_ELEC_ENERGY_FLUX                           1

EFLUX_LOSSCONE_INTEG                             1

TOTAL_EFLUX_INTEG                                1

MAX_CHARE_LOSSCONE                               0

MAX_CHARE_TOTAL                                  1

ION_ENERGY_FLUX                                  0

ION_FLUX                                         1

ION_FLUX_UP                                      0

INTEG_ION_FLUX                                   1

INTEG_ION_FLUX_UP                                1

CHAR_ION_ENERGY                                  0

WIDTH_TIME                                       0

WIDTH_X                                          0

DELTA_B                                          0

DELTA_E                                          0

SAMPLE_T                                         0

MODE                                             0

PROTON_FLUX_UP                                   0

PROTON_CHAR_ENERGY                               0

OXY_FLUX_UP                                      0

OXY_CHAR_ENERGY                                  0

HELIUM_FLUX_UP                                   0

HELIUM_CHAR_ENERGY                               0

SC_POT                                           1

L_PROBE                                          0

MAX_L_PROBE                                      0

MIN_L_PROBE                                      0

MEDIAN_L_PROBE                                   0

START_TIME                                       0

STOP_TIME                                        0

TOTAL_ELECTRON_ENERGY_DFLUX_SINGLE               1

TOTAL_ELECTRON_ENERGY_DFLUX_MULTIPLE_TOT         1

TOTAL_ALFVEN_ELECTRON_ENERGY_DFLUX               1

TOTAL_ION_OUTFLOW_SINGLE                         1

TOTAL_ION_OUTFLOW_MULTIPLE_TOT                   1

TOTAL_ALFVEN_ION_OUTFLOW                         1

TOTAL_UPWARD_ION_OUTFLOW_SINGLE                  1

TOTAL_UPWARD_ION_OUTFLOW_MULTIPLE_TOT            1

TOTAL_ALFVEN_UPWARD_ION_OUTFLOW                  1

PFLUXEST                                         0

